model_key,layer,head,k,iou_score,program_idxs_used
llama3b,1,14,6,0.823975,55|27|23|30|64|24
llama3b,1,14,7,0.823975,55|27|23|30|64|24|28
llama3b,1,14,8,0.823975,55|27|23|30|64|24|28|58
llama3b,1,14,9,0.823975,55|27|23|30|64|24|28|58|32
llama3b,1,14,10,0.823975,55|27|23|30|64|24|28|58|32|36
llama3b,1,15,1,0.522817,68
llama3b,1,15,2,0.523343,68|33
llama3b,1,15,3,0.524764,68|33|55
llama3b,1,15,4,0.524969,68|33|55|23
llama3b,1,15,5,0.536664,68|33|55|23|30
llama3b,1,15,6,0.536664,68|33|55|23|30|27
llama3b,1,15,7,0.536664,68|33|55|23|30|27|28
llama3b,1,15,8,0.536664,68|33|55|23|30|27|28|58
llama3b,1,15,9,0.536664,68|33|55|23|30|27|28|58|36
llama3b,1,15,10,0.536664,68|33|55|23|30|27|28|58|36|2
llama3b,1,16,1,0.630894,55
llama3b,1,16,2,0.631991,55|23
llama3b,1,16,3,0.643569,55|23|30
llama3b,1,16,4,0.643569,55|23|30|27
llama3b,1,16,5,0.643569,55|23|30|27|64
llama3b,1,16,6,0.643569,55|23|30|27|64|24
llama3b,1,16,7,0.643569,55|23|30|27|64|24|28
llama3b,1,16,8,0.643569,55|23|30|27|64|24|28|58
llama3b,1,16,9,0.643569,55|23|30|27|64|24|28|58|32
llama3b,1,16,10,0.643569,55|23|30|27|64|24|28|58|32|36
llama3b,1,17,1,0.865445,68
llama3b,1,17,2,0.882558,68|55
llama3b,1,17,3,0.883929,68|55|23
llama3b,1,17,4,0.885081,68|55|23|27
llama3b,1,17,5,0.885081,68|55|23|27|30
llama3b,1,17,6,0.885081,68|55|23|27|30|64
llama3b,1,17,7,0.885081,68|55|23|27|30|64|28
llama3b,1,17,8,0.885081,68|55|23|27|30|64|28|36
llama3b,1,17,9,0.885081,68|55|23|27|30|64|28|36|32
llama3b,1,17,10,0.885081,68|55|23|27|30|64|28|36|32|24
llama3b,1,18,1,0.897282,68
llama3b,1,18,2,0.909743,68|33
llama3b,1,18,3,0.911983,68|33|55
llama3b,1,18,4,0.910768,68|33|55|23
llama3b,1,18,5,0.911675,68|33|55|23|64
llama3b,1,18,6,0.911675,68|33|55|23|64|27
llama3b,1,18,7,0.911675,68|33|55|23|64|27|30
llama3b,1,18,8,0.911675,68|33|55|23|64|27|30|36
llama3b,1,18,9,0.911675,68|33|55|23|64|27|30|36|28
llama3b,1,18,10,0.911675,68|33|55|23|64|27|30|36|28|24
llama3b,1,19,1,0.817427,68
llama3b,1,19,2,0.810781,68|55
llama3b,1,19,3,0.811207,68|55|23
llama3b,1,19,4,0.812416,68|55|23|27
llama3b,1,19,5,0.812416,68|55|23|27|30
llama3b,1,19,6,0.812416,68|55|23|27|30|64
llama3b,1,19,7,0.812416,68|55|23|27|30|64|28
llama3b,1,19,8,0.812416,68|55|23|27|30|64|28|36
llama3b,1,19,9,0.812416,68|55|23|27|30|64|28|36|32
llama3b,1,19,10,0.812416,68|55|23|27|30|64|28|36|32|24
llama3b,1,20,1,0.87033,55
llama3b,1,20,2,0.870475,55|23
llama3b,1,20,3,0.872635,55|23|30
llama3b,1,20,4,0.872635,55|23|30|27
llama3b,1,20,5,0.872635,55|23|30|27|64
llama3b,1,20,6,0.872635,55|23|30|27|64|24
llama3b,1,20,7,0.872635,55|23|30|27|64|24|28
llama3b,1,20,8,0.872635,55|23|30|27|64|24|28|58
llama3b,1,20,9,0.872635,55|23|30|27|64|24|28|58|32
llama3b,1,20,10,0.872635,55|23|30|27|64|24|28|58|32|36
llama3b,1,21,1,0.581141,68
llama3b,1,21,2,0.584573,68|33
llama3b,1,21,3,0.595017,68|33|55
llama3b,1,21,4,0.613233,68|33|55|23
llama3b,1,21,5,0.627544,68|33|55|23|64
llama3b,1,21,6,0.627544,68|33|55|23|64|27
llama3b,1,21,7,0.627544,68|33|55|23|64|27|30
llama3b,1,21,8,0.627544,68|33|55|23|64|27|30|36
llama3b,1,21,9,0.627544,68|33|55|23|64|27|30|36|28
llama3b,1,21,10,0.627544,68|33|55|23|64|27|30|36|28|24
llama3b,1,22,1,0.680411,68
llama3b,1,22,2,0.695566,68|55
llama3b,1,22,3,0.696891,68|55|23
